POSICAO;SCORE;ACAO;COD_PRODUTO;PRODUTO;MARCA;GRUPO;CUSTO;PRECO_PRA_COMPETIR;SOBRA_RS;SOBRA_PCT;VISITAS_JANELA;VISITAS_DIA;TENDENCIA;CONCORRENTES;LOJAS_OFICIAIS;ANUNCIOS_MEDIDOS;PRECO_NA_ANALISE;SOBRA_PCT_NA_ANALISE;TIER;VERIFICACAO;POR_QUE;URL_CATALOGO;URL_CONCORRENTE
47;68;ANUNCIAR JA;154912;PORTA SABONETE LIQUIDO 330ml CERAMICA CANELATTA BRANCO - LYOR;LYOR;BAZAR;10,90;30,40;9,13;30,0;288;4,80;caindo;2;0;2;30,40;31,3;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB44195084;https://produto.mercadolivre.com.br/MLB-5200836082
48;68;ANUNCIAR JA;6445;GRAFITE 0.9 C/ 36 B STEIN - PENTEL;PENTEL;MATERIAIS;5,39;19,00;4,92;25,9;316;5,27;subindo;1;0;1;19,00;25,9;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB28275659;https://produto.mercadolivre.com.br/MLB-3994792541
49;67;ANUNCIAR JA;151042;CENTRO DE MESA 38cm PLUMA NATURAL - VITAZZA;VITAZZA;UTILIDADES DOMÉSTICAS;20,38;53,91;19,37;35,9;188;3,13;subindo;3;0;3;43,62;26,9;competir;CONFIRMADA;;https://www.mercadolivre.com.br/p/MLB37146519;https://produto.mercadolivre.com.br/MLB-4587706955
50;67;SEGUNDA RODADA;160832;FRONHA 50x70cm/3 ABAS 4cm TOQUE ACETINADO - BRANCO;ALTENBURG;CAMA MESA E BANHO;15,27;38,00;11,42;30,0;813;13,55;caindo;5;2;3;36,23;28,4;competir;CONFIRMADA;tem loja oficial vendendo;https://www.mercadolivre.com.br/p/MLB24830934;https://produto.mercadolivre.com.br/MLB-4671068022
51;67;SEGUNDA RODADA;121850;RECIPIENTE ISOTERMICO 2,5L ATACAMA LARANJA - SOPRANO;SOPRANO;BAZAR;22,40;49,99;12,85;25,7;1041;17,35;subindo;3;2;3;35,90;8,0;apertado;CONFIRMADA;tem loja oficial vendendo;https://www.mercadolivre.com.br/p/MLB22333146;https://produto.mercadolivre.com.br/MLB-5775181498
52;66;SEGUNDA RODADA;133351;MOCHILA 26L CROSS TOWN NAVY AZUL MARINHO - JANSPORT;JANSPORT;MATERIAIS;132,00;259,90;46,48;17,9;3420;57,00;estavel;3;1;3;259,90;20,4;competir;CONFIRMADA;tem loja oficial vendendo;https://www.mercadolivre.com.br/p/MLB25276899;https://produto.mercadolivre.com.br/MLB-5070845634
53;66;ANUNCIAR JA;158477;SACO TRANSPARENTE 20x29cm/100 UNIDADES - GALA;GALA;MATERIAIS;6,61;28,46;11,45;40,2;305;5,08;caindo;7;0;3;28,46;42,4;competir;CONFIRMADA;;https://www.mercadolivre.com.br/p/MLB28403261;https://produto.mercadolivre.com.br/MLB-4156022597
54;66;ANUNCIAR JA;140499;SUPORTE PAPEL TOALHA BAMBU 16X16X335CM - CLINK;CLINK;UTILIDADES DOMÉSTICAS;7,43;27,48;9,31;33,9;198;3,30;estavel;3;0;3;27,48;37,8;competir;CONFIRMADA;;https://www.mercadolivre.com.br/p/MLB27317453;https://produto.mercadolivre.com.br/MLB-3605365911
55;66;ANUNCIAR JA;144767;PASTA CATALOGO A4 COM 50 PLASTICOS EXECUTIVE PRETA - DELLO;DELLO;MATERIAIS;16,79;36,28;8,32;22,9;837;13,95;estavel;6;0;2;37,40;26,2;competir;CONFIRMADA;;https://www.mercadolivre.com.br/p/MLB23545198;https://produto.mercadolivre.com.br/MLB-3693388188
56;66;ANUNCIAR JA;136666;BORRACHA CLIC ERASER 2 AZUL TRANSPARENTE - PENTEL;PENTEL;MATERIAIS;3,97;26,90;13,34;49,6;86;1,43;subindo;1;0;1;26,90;49,6;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB25963688;https://produto.mercadolivre.com.br/MLB-6687752170
57;66;ANUNCIAR JA;128272;EVA ATOALHADO 40x48cm AMARELO - MAKE+;MAKE+;MATERIAIS;3,20;18,21;6,42;35,2;81;1,35;caindo;1;0;1;18,21;35,2;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB27577591;https://produto.mercadolivre.com.br/MLB-4411120006
58;65;SEGUNDA RODADA;153835;BOLSA CAMARIM BAG BEAUTY - BAMBOLA;BAMBOLA;BRINQUEDOS;12,51;39,00;13,10;33,6;690;11,50;subindo;26;2;3;39,00;39,8;competir;CONFIRMADA;tem loja oficial vendendo · 26 concorrentes;https://www.mercadolivre.com.br/p/MLB37746348;https://produto.mercadolivre.com.br/MLB-6998410690
59;65;ANUNCIAR JA;101582;CANETA GEL 0.7mm ENERGEL RETRATIL AZUL - PENTEL;PENTEL;MATERIAIS;6,72;23,87;7,79;32,6;278;4,63;estavel;5;0;3;23,87;33,1;competir;CONFIRMADA;;https://www.mercadolivre.com.br/p/MLB22923089;https://produto.mercadolivre.com.br/MLB-4690355927
60;65;SEGUNDA RODADA;159777;CANECA 300ml COM INFUSOR E TAMPA MODERN VIDRO BOROSSILICATO - LYOR;LYOR;UTILIDADES DOMÉSTICAS;18,82;64,00;31,32;48,9;259;4,32;subindo;1;1;1;64,00;48,9;conferir;DUVIDOSA;tem loja oficial vendendo;https://www.mercadolivre.com.br/p/MLB60926241;https://produto.mercadolivre.com.br/MLB-6824843136
61;65;ANUNCIAR JA;125725;VASO C/PE DE VIDRO SODO-CALCICO RENAISSANCE AMBAR 14,5X11,5CM - LYOR;LYOR;BAZAR;6,68;49,90;30,98;62,1;70;1,17;subindo;1;0;1;49,90;62,1;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB22277393;https://produto.mercadolivre.com.br/MLB-6254734946
62;65;ANUNCIAR JA;124684;QUEBRA CABECA 100 PÇS BORIS E RUFUS - ESTRELA;ESTRELA;BRINQUEDOS;6,79;49,90;30,87;61,9;68;1,13;subindo;1;0;1;49,90;61,9;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB20539790;https://produto.mercadolivre.com.br/MLB-3667116505
63;65;ANUNCIAR JA;143517;TINTA ACRILICA TECIDO 250ml FOSCA VERDE OLIVA 545 - ACRILEX;ACRILEX;MATERIAIS;16,70;40,19;12,37;30,8;128;2,13;estavel;1;0;1;40,19;30,8;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB62053881;https://produto.mercadolivre.com.br/MLB-5577543398
64;64;SEGUNDA RODADA;28291;DESUMIDIFICADOR DE PAPEL 600 FLS BIVOLT - MENNO;MENNO;MATERIAIS;125,76;267,00;58,16;21,8;2001;33,35;estavel;22;3;3;249,90;20,2;competir;CONFIRMADA;tem loja oficial vendendo · 22 concorrentes;https://www.mercadolivre.com.br/p/MLB20682463;https://produto.mercadolivre.com.br/MLB-6512976712
65;64;ANUNCIAR JA;154790;PORTA QUEIJO MINAS BREAK BRANCO FECHADO - OU;OU;UTILIDADES DOMÉSTICAS;13,74;42,99;17,29;40,2;151;2,52;subindo;4;0;3;42,99;41,4;competir;CONFIRMADA;;https://www.mercadolivre.com.br/p/MLB25660066;https://produto.mercadolivre.com.br/MLB-4085566469
66;64;ANUNCIAR JA;154278;APONTADOR DUPLO COM DEPOSITO TWO TONE ROSA - FABER-CASTELL;FABER-CASTELL;MATERIAIS;6,56;23,70;7,81;33,0;206;3,43;subindo;4;0;3;26,68;39,5;competir;CONFIRMADA;concorrente baixou 11%;https://www.mercadolivre.com.br/p/MLB50494073;https://produto.mercadolivre.com.br/MLB-6713651898
67;64;SEGUNDA RODADA;126781;POTE DE VIDRO BOROSILICATO C/TAMPA DE VIDRO 750ML - LYOR;LYOR;UTILIDADES DOMÉSTICAS;5,83;24,00;7,53;31,4;750;12,50;subindo;20;3;3;23,28;35,5;competir;CONFIRMADA;tem loja oficial vendendo · 20 concorrentes;https://www.mercadolivre.com.br/p/MLB22637543;https://produto.mercadolivre.com.br/MLB-6646563024
68;64;SEGUNDA RODADA;149753;GANCHO ADESIVO 3,6kg SUPORTE METAL PARA QUADROS COMMAND - 3M;3M;BAZAR;14,91;30,64;5,38;17,6;2622;43,70;subindo;5;4;3;30,64;18,6;competir;CONFIRMADA;tem loja oficial vendendo;https://www.mercadolivre.com.br/p/MLB25376932;https://produto.mercadolivre.com.br/MLB-5466347614
69;64;ANUNCIAR JA;146021;JOGO 4PÇS DE CAMA CASAL 210x240cm TOQUE ACETINADO SLIM MARINHO - ALTENBURG;ALTENBURG;CAMA MESA E BANHO;105,09;224,91;47,84;21,3;329;5,48;subindo;1;0;2;230,10;23,3;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB42610532;https://produto.mercadolivre.com.br/MLB-6238445914
70;64;ANUNCIAR JA;157025;PANELA WOK 28cm/3,55L COM TAMPA E ALÇA EBONY PRETO - BRINOX;BRINOX;UTILIDADES DOMÉSTICAS;61,40;149,00;40,46;27,2;187;3,12;subindo;1;0;1;149,00;27,2;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB67952866;https://produto.mercadolivre.com.br/MLB-4620387277
71;64;ANUNCIAR JA;58545;ARQUIVO C/ 4 ARGOLAS 30 MM A4 PRETO - CHIES;CHIES;MATERIAIS;13,49;41,90;16,91;40,4;92;1,53;estavel;2;0;2;41,90;40,8;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB24351399;https://produto.mercadolivre.com.br/MLB-3651958377
